index,cluster,label
0,7,5
1,4,0
2,5,4
3,0,1
4,5,9
5,8,2
6,1,1
7,2,3
8,1,1
9,5,4
10,2,3
11,0,5
12,2,3
13,3,6
14,1,1
15,9,7
16,8,2
17,0,8
18,3,6
19,9,9
20,5,4
21,4,0
22,9,9
23,0,1
24,1,1
25,8,2
26,5,4
27,2,3
28,8,2
29,9,7
30,2,3
31,0,8
32,3,6
33,9,9
34,4,0
35,7,5
36,3,6
37,4,0
38,5,7
39,3,6
40,1,1
41,6,8
42,9,7
43,9,9
44,2,3
45,9,9
46,6,8
47,7,5
48,1,9
49,2,3
50,2,3
51,4,0
52,9,7
53,1,4
54,5,9
55,6,8
56,4,0
57,9,9
58,5,4
59,0,1
60,5,4
61,0,4
62,3,6
63,4,0
64,5,4
65,7,5
66,3,6
67,1,1
68,4,0
69,4,0
70,1,1
71,9,7
72,1,1
73,3,6
74,2,3
75,4,0
76,8,2
77,0,1
78,0,1
79,9,7
80,3,9
81,4,0
82,8,2
83,3,6
84,9,7
85,6,8
86,2,3
87,9,9
88,4,0
89,5,4
90,3,6
91,9,7
92,5,4
93,3,6
94,6,8
95,4,0
96,9,7
97,6,8
98,2,3
99,0,1
100,7,5
101,9,7
102,1,1
103,9,7
104,1,1
105,0,1
106,3,6
107,2,3
108,4,0
109,3,2
110,5,9
111,2,3
112,1,1
113,0,1
114,4,0
115,5,4
116,5,9
117,8,2
118,4,0
119,4,0
120,9,2
121,4,0
122,8,2
123,9,7
124,1,1
125,6,8
126,3,6
127,0,4
128,1,1
129,3,6
130,2,3
131,5,4
132,1,5
133,9,9
134,1,1
135,2,3
136,2,3
137,0,8
138,2,5
139,5,4
140,9,7
141,0,7
142,5,4
143,8,2
144,6,8
145,7,5
146,6,8
147,3,6
148,5,7
149,2,3
150,5,4
151,3,6
152,1,1
153,9,9
154,5,9
155,3,6
156,4,0
157,2,3
158,5,7
159,8,2
160,6,8
161,8,2
162,5,9
163,0,4
164,5,4
165,3,6
166,5,4
167,9,9
168,9,7
169,4,0
170,5,9
171,8,2
172,9,9
173,0,5
174,1,1
175,7,5
176,5,9
177,0,1
178,4,2
179,2,3
180,1,2
181,2,3
182,2,5
183,9,9
184,1,1
185,9,7
186,3,6
187,8,2
188,6,8
189,8,2
190,8,2
191,7,5
192,4,0
193,9,7
194,5,4
195,9,9
196,9,7
197,6,8
198,2,3
199,8,2
200,1,1
201,0,1
202,7,8
203,2,3
204,3,6
205,0,1
206,4,0
207,8,3
208,1,1
209,4,0
210,4,0
211,1,1
212,1,7
213,8,2
214,9,7
215,2,3
216,4,0
217,5,4
218,3,6
219,7,5
220,8,2
221,3,6
222,5,4
223,9,7
224,6,1
225,6,8
226,5,9
227,9,9
228,2,3
229,4,0
230,9,7
231,1,1
232,3,0
233,8,2
234,4,0
235,2,3
236,7,5
237,5,4
238,3,6
239,7,5
240,6,8
241,3,6
242,2,3
243,9,7
244,7,5
245,6,8
246,4,0
247,5,9
248,1,1
249,4,0
250,2,3
251,1,1
252,8,2
253,8,2
254,2,3
255,2,3
256,7,6
257,5,4
258,9,7
259,7,5
260,4,0
261,3,6
262,3,2
263,9,7
264,5,9
265,6,8
266,7,5
267,9,9
268,9,2
269,1,1
270,1,1
271,5,4
272,5,4
273,7,5
274,3,6
275,5,4
276,1,1
277,8,2
278,2,5
279,2,3
280,9,9
281,2,3
282,5,9
283,4,0
284,2,5
285,9,9
286,3,6
287,7,5
288,9,7
289,5,4
290,1,1
291,2,3
292,5,4
293,4,0
294,5,4
295,6,8
296,4,0
297,5,4
298,2,3
299,3,6
300,6,8
301,9,7
302,3,6
303,4,0
304,9,9
305,9,7
306,2,5
307,9,7
308,8,2
309,0,1
310,1,1
311,3,6
312,6,8
313,9,9
314,5,4
315,0,1
316,2,5
317,8,2
318,8,2
319,9,9
320,4,0
321,2,3
322,5,9
323,3,6
324,9,7
325,8,2
326,4,0
327,2,3
328,7,5
329,5,4
330,2,3
331,3,6
332,7,5
333,6,8
334,5,9
335,7,5
336,5,4
337,9,7
338,5,4
339,8,2
340,5,7
341,2,3
342,5,4
343,6,8
344,5,9
345,0,1
346,2,9
347,8,2
348,6,8
349,9,7
350,5,9
351,0,1
352,6,8
353,9,7
354,5,4
355,0,1
356,2,3
357,0,1
358,1,1
359,4,0
360,8,2
361,2,3
362,5,9
363,5,4
364,5,9
365,8,2
366,1,1
367,3,6
368,6,8
369,5,4
370,1,7
371,9,7
372,5,4
373,5,4
374,5,9
375,8,2
376,7,5
377,9,7
378,8,2
379,5,4
380,5,4
381,8,2
382,1,1
383,9,9
384,5,7
385,8,2
386,6,8
387,9,7
388,3,6
389,9,9
390,8,2
391,8,2
392,2,3
393,6,8
394,1,1
395,3,6
396,7,5
397,0,1
398,1,1
399,4,0
400,8,2
401,3,6
402,5,4
403,7,5
404,2,8
405,2,3
406,1,1
407,7,5
408,1,1
409,9,9
410,8,2
411,9,7
412,5,4
413,5,4
414,5,4
415,6,8
416,0,1
417,7,5
418,0,8
419,9,9
420,7,5
421,3,6
422,9,7
423,9,9
424,5,9
425,2,3
426,9,7
427,4,0
428,5,9
429,4,0
430,3,6
431,3,6
432,8,2
433,2,3
434,5,9
435,4,0
436,5,7
437,7,5
438,5,4
439,6,8
440,4,0
441,9,9
442,5,4
443,0,1
444,1,2
445,6,8
446,5,7
447,0,1
448,8,2
449,3,6
450,1,1
451,4,0
452,2,3
453,4,0
454,1,1
455,0,1
456,6,8
457,8,2
458,4,0
459,2,3
460,5,9
461,5,4
462,4,0
463,7,5
464,4,0
465,3,6
466,1,1
467,9,7
468,5,7
469,6,8
470,1,1
471,9,9
472,1,2
473,4,0
474,7,5
475,0,1
476,8,2
477,8,2
478,9,7
479,2,3
480,7,5
481,5,4
482,5,9
483,9,7
484,1,1
485,6,8
486,2,3
487,0,9
488,3,6
489,4,0
490,2,3
491,0,1
492,0,1
493,8,2
494,4,6
495,2,3
496,7,5
497,0,7
498,3,6
499,6,8
500,9,3
501,0,9
502,7,5
503,0,8
504,2,5
505,9,7
506,3,6
507,0,1
508,0,1
509,7,3
510,0,1
511,0,7
512,7,5
513,7,5
514,2,5
515,8,2
516,7,5
517,6,8
518,9,7
519,4,0
520,5,9
521,9,7
522,9,7
523,7,5
524,4,0
525,9,9
526,4,0
527,4,0
528,7,8
529,0,9
530,8,2
531,5,4
532,6,8
533,0,1
534,3,6
535,0,1
536,3,6
537,7,5
538,0,1
539,6,8
540,2,3
541,5,4
542,4,0
543,7,5
544,2,5
545,6,8
546,2,3
547,3,6
548,8,2
549,2,3
550,5,9
551,8,2
552,1,1
553,0,1
554,3,5
555,8,2
556,1,1
557,2,3
558,1,2
559,7,8
560,9,7
561,2,3
562,9,7
563,0,2
564,5,4
565,3,6
566,5,9
567,9,7
568,8,2
569,5,4
570,8,2
571,6,8
572,1,1
573,0,1
574,2,3
575,0,8
576,5,4
577,4,0
578,3,6
579,7,5
580,5,9
581,2,3
582,4,0
583,0,9
584,8,2
585,5,4
586,9,7
587,0,1
588,1,2
589,9,9
590,5,4
591,8,2
592,3,6
593,0,1
594,2,8
595,9,9
596,4,0
597,3,6
598,3,6
599,9,7
600,5,9
601,0,9
602,2,8
603,4,0
604,1,1
605,0,4
606,5,4
607,3,6
608,5,7
609,0,1
610,5,5
611,0,7
612,4,0
613,2,3
614,7,5
615,6,8
616,5,4
617,9,7
618,1,1
619,8,2
620,2,5
621,9,9
622,7,5
623,3,6
624,9,7
625,7,5
626,5,9
627,7,8
628,2,8
629,2,3
630,3,6
631,0,9
632,9,7
633,4,0
634,9,7
635,8,5
636,9,7
637,0,1
638,1,1
639,4,0
640,9,7
641,0,9
642,8,2
643,2,3
644,0,7
645,2,3
646,1,2
647,0,4
648,1,1
649,3,6
650,8,2
651,9,7
652,7,5
653,7,5
654,9,7
655,5,4
656,4,0
657,8,2
658,3,6
659,2,3
660,3,6
661,0,4
662,4,0
663,5,4
664,8,2
665,3,6
666,4,0
667,4,0
668,4,0
669,4,0
670,2,3
671,0,1
672,3,6
673,8,2
674,1,2
675,2,3
676,1,1
677,5,4
678,1,1
679,7,5
680,5,4
681,3,6
682,5,4
683,9,7
684,8,2
685,0,8
686,9,7
687,5,9
688,8,2
689,4,0
690,3,5
691,0,1
692,5,4
693,8,2
694,6,8
695,2,3
696,8,2
697,5,4
698,0,1
699,7,5
700,5,4
701,3,6
702,4,0
703,9,7
704,4,9
705,0,8
706,5,4
707,9,9
708,6,8
709,4,0
710,1,1
711,0,1
712,4,0
713,8,2
714,8,2
715,2,3
716,8,2
717,5,4
718,5,4
719,7,5
720,1,8
721,3,6
722,7,5
723,9,7
724,9,7
725,0,8
726,6,8
727,5,9
728,9,7
729,5,4
730,9,7
731,2,3
732,8,2
733,4,0
734,6,8
735,3,6
736,2,8
737,3,6
738,1,1
739,3,6
740,2,8
741,5,9
742,5,4
743,4,0
744,5,9
745,4,0
746,5,4
747,0,1
748,2,5
749,9,4
750,9,7
751,7,5
752,2,3
753,9,7
754,5,4
755,9,9
756,6,8
757,7,5
758,6,8
759,3,6
760,2,3
761,6,8
762,3,6
763,5,9
764,5,9
765,0,1
766,6,8
767,2,3
768,7,5
769,6,8
770,4,6
771,7,5
772,5,9
773,9,7
774,8,2
775,7,5
776,4,0
777,6,8
778,5,5
779,0,1
780,1,1
781,4,0
782,5,9
783,0,1
784,6,8
785,3,6
786,9,7
787,4,0
788,5,9
789,2,3
790,4,0
791,6,8
792,2,8
793,5,9
794,3,6
795,9,7
796,6,8
797,5,4
798,9,7
799,7,5
800,5,9
801,8,2
802,3,6
803,9,7
804,5,4
805,7,5
806,5,9
807,8,2
808,2,3
809,0,1
810,3,6
811,2,3
812,5,9
813,8,2
814,8,2
815,7,5
816,3,6
817,6,8
818,4,0
819,9,7
820,5,7
821,0,1
822,1,9
823,6,8
824,9,7
825,4,0
826,5,9
827,9,9
828,5,4
829,3,6
830,8,2
831,6,8
832,2,5
833,0,1
834,5,4
835,0,1
836,2,5
837,7,5
838,1,1
839,9,7
840,2,3
841,3,6
842,5,4
843,0,3
844,8,2
845,7,5
846,3,6
847,5,4
848,5,4
849,4,0
850,3,4
851,5,4
852,3,6
853,9,7
854,5,2
855,5,4
856,2,3
857,2,3
858,6,8
859,4,0
860,4,0
861,2,3
862,8,2
863,8,2
864,9,9
865,6,8
866,8,2
867,2,3
868,9,7
869,4,0
870,1,1
871,0,1
872,4,0
873,8,2
874,2,3
875,2,3
876,6,8
877,5,4
878,2,3
879,7,5
880,9,7
881,3,6
882,5,4
883,9,7
884,1,7
885,6,8
886,2,5
887,9,9
888,9,7
889,4,0
890,2,3
891,0,1
892,3,6
893,8,2
894,5,4
895,2,3
896,5,4
897,5,4
898,9,7
899,7,5
900,5,9
901,3,6
902,4,9
903,4,0
904,9,7
905,0,1
906,5,4
907,8,2
908,9,7
909,2,3
910,3,6
911,9,7
912,7,5
913,0,8
914,5,4
915,7,5
916,3,5
917,8,2
918,9,7
919,0,1
920,1,1
921,7,5
922,3,6
923,6,8
924,2,5
925,6,8
926,5,4
927,4,0
928,9,7
929,5,9
930,9,9
931,8,2
932,5,9
933,9,7
934,9,7
935,0,8
936,9,7
937,5,4
938,6,2
939,3,6
940,5,9
941,0,1
942,9,7
943,4,0
944,3,6
945,5,4
946,6,2
947,7,5
948,9,7
949,4,0
950,9,7
951,0,1
952,4,0
953,2,3
954,9,7
955,3,6
956,7,5
957,4,0
958,3,6
959,0,1
960,7,5
961,0,1
962,9,7
963,6,8
964,7,5
965,4,0
966,2,3
967,5,4
968,9,7
969,9,7
970,2,5
971,9,7
972,6,8
973,3,6
974,5,9
975,2,3
976,6,8
977,3,6
978,1,1
979,4,0
980,5,9
981,9,7
982,1,1
983,2,3
984,4,0
985,7,5
986,3,6
987,5,4
988,5,4
989,8,2
990,5,4
991,5,4
992,2,3
993,0,1
994,9,7
995,9,7
996,3,6
997,4,0
998,2,3
999,3,6
1000,4,0
1001,9,7
1002,1,1
1003,0,1
1004,5,4
1005,9,9
1006,5,4
1007,2,3
1008,5,4
1009,0,8
1010,8,2
1011,8,2
1012,1,1
1013,0,8
1014,9,7
1015,4,0
1016,6,8
1017,0,1
1018,4,0
1019,9,7
1020,3,6
1021,2,3
1022,9,7
1023,9,7
1024,5,5
1025,0,8
1026,6,8
1027,9,9
1028,4,0
1029,4,0
1030,3,4
1031,0,1
1032,2,5
1033,8,2
1034,8,2
1035,4,3
1036,9,9
1037,5,4
1038,5,9
1039,7,5
1040,4,0
1041,3,6
1042,9,7
1043,9,7
1044,1,1
1045,6,8
1046,4,0
1047,9,2
1048,8,2
1049,4,0
1050,5,4
1051,0,1
1052,1,1
1053,8,2
1054,9,7
1055,7,3
1056,5,9
1057,9,7
1058,6,2
1059,6,8
1060,1,1
1061,9,9
1062,7,5
1063,6,8
1064,6,8
1065,0,1
1066,0,9
1067,6,8
1068,2,3
1069,0,1
1070,1,6
1071,7,5
1072,9,7
1073,5,4
1074,8,2
1075,5,7
1076,4,0
1077,4,3
1078,4,0
1079,0,4
1080,1,1
1081,0,1
1082,9,7
1083,5,9
1084,1,1
1085,0,1
1086,6,8
1087,7,5
1088,9,7
1089,7,5
1090,4,0
1091,3,6
1092,3,6
1093,4,0
1094,5,4
1095,0,1
1096,8,2
1097,8,3
1098,5,4
1099,0,4
1100,3,6
1101,6,8
1102,4,0
1103,9,9
1104,7,5
1105,6,8
1106,9,7
1107,4,0
1108,2,3
1109,7,5
1110,5,4
1111,7,5
1112,5,9
1113,3,6
1114,9,7
1115,0,1
1116,5,9
1117,3,6
1118,1,1
1119,4,3
1120,3,8
1121,7,3
1122,5,9
1123,0,1
1124,8,2
1125,9,7
1126,9,7
1127,5,7
1128,4,0
1129,8,2
1130,2,3
1131,0,1
1132,1,1
1133,5,4
1134,8,2
1135,7,5
1136,3,6
1137,4,0
1138,9,9
1139,3,6
1140,7,2
1141,6,8
1142,5,9
1143,6,2
1144,2,3
1145,2,3
1146,3,6
1147,5,9
1148,0,1
1149,5,4
1150,2,3
1151,2,3
1152,4,0
1153,9,7
1154,9,7
1155,0,1
1156,9,7
1157,9,7
1158,2,3
1159,3,6
1160,5,4
1161,9,9
1162,2,5
1163,5,4
1164,5,4
1165,8,2
1166,9,7
1167,9,9
1168,4,0
1169,9,9
1170,2,8
1171,5,4
1172,5,4
